"Ensemle_ID"	"Ensemle_ID"	"ENTREZID"	"SYMBOL"	"GENENAME"	"ERR1084811_ER"	"ERR1084806_ER"	"ERR1084805_ER"	"ERR1084775_ER"	"ERR1084765_ER"	"ERR1084764_ER"	"ERR1084763_ER"	"ERR1084808_TN"	"ERR1084809_TN"	"ERR1084807_TN"	"ERR1084810_TN"	"ERR1084803_TN"	"ERR1084802_TN"	"ERR1084801_TN"	"ERR1084804_TN"	"ERR1084800_TN"	"ERR1084799_TN"	"ERR1084798_TN"	"ERR1084768_TN"	"ERR1084766_TN"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1"	"ENSG00000000460"	"55732"	"C1orf112"	"chromosome 1 open reading frame 112"	516	676	733	343	536	555	497	352	856	1335	845	527	153	1322	1074	665	1368	932	823	266	845.51938864948	1.27358437829662	0.473720233258271	2.68847367894094	0.00717794943171466	0.0370436992809092
"2"	"ENSG00000001167"	"4800"	"NFYA"	"nuclear transcription factor Y subunit alpha"	995	1024	1159	1012	1390	1474	1379	1145	1148	2703	363	1001	832	1116	2208	1766	1932	4401	2270	246	1326.96546835106	0.667472848392649	0.255095027822352	2.61656549753482	0.00888193222788619	0.0432905475823771
"3"	"ENSG00000002586"	"4267"	"CD99"	"CD99 molecule (Xg blood group)"	808	711	2974	1485	124	94	93	5250	2841	2517	2690	4904	980	1971	2160	70	2078	1987	4175	689	2444.97059179302	2.30942996286606	0.712435316502958	3.2415994959403	0.00118860934963712	0.00941517892266164
"4"	"ENSG00000003400"	"843"	"CASP10"	"caspase 10"	27	4	10	21	2	0	1	1177	21	3	133	64	3	27	2	67	13	9	11	10	53.7273353459153	3.36003442798734	1.04093401065299	3.22790339598908	0.00124701078983407	0.0098037625854251
"5"	"ENSG00000003402"	"8837"	"CFLAR"	"CASP8 and FADD like apoptosis regulator"	2084	1400	2739	2626	819	907	707	6577	4498	6878	896	1294	2388	2787	1983	5897	2653	2988	2166	304	2454.974041069	1.28689563776695	0.378189051128265	3.40278396195687	0.000667030006205852	0.00597071534906515
"6"	"ENSG00000003509"	"55471"	"NDUFAF7"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"	374	381	372	648	549	449	366	749	479	559	461	649	297	873	848	722	447	533	931	558	715.84849637959	1.35531009128235	0.460499352046255	2.94313137523419	0.00324910505872329	0.0203715702546344
"7"	"ENSG00000004399"	"23129"	"PLXND1"	"plexin D1"	7509	3048	1789	8447	13336	6313	5511	2390	2079	3619	199	2571	1333	1027	3449	984	2936	2017	4905	1120	3333.86714559608	-1.1838966379395	0.421209443331097	-2.81070772909734	0.00494326673833337	0.0280682088647477
"8"	"ENSG00000004468"	"952"	"CD38"	"CD38 molecule"	18	2	0	0	1	1	3	7	22	385	8	1	1	9	64	3	18	143	1	7	27.3372387189733	3.69682988190107	1.03868773278186	3.55913501741284	0.00037207822334487	0.00377067061965452
"9"	"ENSG00000004478"	"2288"	"FKBP4"	"FK506 binding protein 4"	4270	19721	17783	17678	31655	32676	27906	2640	13944	12200	881	12729	11345	18823	9005	6017	7169	5511	12811	643	10977.0189159603	-1.15093591567666	0.364758276444525	-3.15533872704791	0.00160311867145069	0.0119310423939095
"10"	"ENSG00000004487"	"23028"	"KDM1A"	"lysine demethylase 1A"	1539	2714	4753	3033	2675	2272	1913	1953	3277	5154	637	4675	2944	5924	5436	3585	4174	8247	5433	579	3126.21431448161	0.804549728239452	0.2090670936213	3.84828484628383	0.00011894769969008	0.00147083513426295
